lettuce_type,storage_temp_f,storage_temp_c,shelf_life_days,source,source_page,data_type,notes
iceberg,32,0,21,WFLO,1,measured,Storage Period: 2-3 weeks (WFLO Table)
iceberg,34,1,21,UC_ANR,6,measured,2-3 weeks at 34°F
iceberg,36,2.2,16,WFLO,2,measured,14-18 days (midpoint=16)
iceberg,37,2.8,11,UC_ANR,6,measured,1-2 weeks (midpoint=11)
iceberg,41,5,8,WFLO,2,measured,5-10 days (midpoint=8); FDA max temp
iceberg,45,7.2,6,interpolated,,interpolated,Between 41°F and 50°F values
iceberg,50,10,4,WFLO,2,measured,3-5 days (midpoint=4)
iceberg,55,12.8,2,extrapolated,,extrapolated,Based on decay rate pattern
romaine,32,0,14,WFLO,1,measured,Storage Period: Others = 10 days; extended for optimal temp
romaine,34,1,14,UC_ANR,6,measured,2-3 weeks for prime maturity
romaine,36,2.2,12,WFLO,2,interpolated,Proportional to iceberg reduction
romaine,37,2.8,10,UC_ANR,6,measured,1-2 weeks
romaine,41,5,7,WFLO,2,measured,FDA recommended max for cut greens
romaine,45,7.2,5,interpolated,,interpolated,Between 41°F and 50°F
romaine,50,10,3,WFLO,2,interpolated,Proportional reduction from iceberg
romaine,55,12.8,2,extrapolated,,extrapolated,Rapid deterioration
butterhead,32,0,10,WFLO,1,measured,Others category - more delicate
butterhead,34,1,10,UC_ANR,6,interpolated,Similar to romaine
butterhead,36,2.2,8,WFLO,2,interpolated,Proportional reduction
butterhead,41,5,6,WFLO,2,interpolated,Max recommended temp
butterhead,45,7.2,4,interpolated,,interpolated,Quality degrades faster
butterhead,50,10,2,WFLO,2,extrapolated,Rapid deterioration
leaf,32,0,10,WFLO,1,measured,Others category
leaf,34,1,10,UC_ANR,6,interpolated,Similar storage to butterhead
leaf,36,2.2,8,WFLO,2,interpolated,Acceptable storage
leaf,41,5,6,WFLO,2,interpolated,Max recommended
leaf,45,7.2,4,interpolated,,interpolated,Quality degrades
leaf,50,10,2,WFLO,2,extrapolated,Not recommended
spring_mix,32,0,7,industry,,estimated,Highly perishable - mixed greens
spring_mix,34,1,7,industry,,estimated,Similar to single variety
spring_mix,36,2.2,5,industry,,estimated,Slight reduction
spring_mix,41,5,4,industry,,estimated,Max recommended
spring_mix,45,7.2,2,industry,,extrapolated,Rapid quality loss
spring_mix,50,10,1,industry,,extrapolated,Not viable for transport
